,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
87,trok,trˈɔk,trɔk,1252,1252,1252.0
88,handschoenen,hˈɑndsxunən,hɑnd - sxu - nən,1440,257076,87195.33333333333
89,met,mˈɛt,mɛt,344,344,344.0
90,aan,ˈaːn,aːn,96272,96272,96272.0
91,sportarts,spˈɔrtˌɑrts,spɔr - tɑrts,4,1266,635.0
92,gescheurde,ɣəsxˈøːrdə,ɣə - sxøːr - də,862,201458,132735.66666666666
93,adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt,904,20475,8355.666666666666
94,pezen,pˈeːzən,peː - zən,53171,64717,58944.0
95,oma,ˈoːmaː,oː - maː,23008,167764,95386.0
96,hockeyer,hˈɔkəˌiər,hɔ - kə - i - ər,1714,671009,187408.5
97,verstand,vərstˈɑnt,vər - stɑnt,10072,496128,253100.0
98,er,ˈər,ər,1714,1714,1714.0
99,heeft,hˈeːft,heːft,5,5,5.0
100,veel,vˈeːl,veːl,879,879,879.0
101,moest,mˈust,must,2,2,2.0
102,verpleegster,vərplˈeːxstər,vər - pleːx - stər,1021,496128,166901.66666666666
103,gebroken,ɣəbrˈoːkən,ɣə - broː - kən,4863,374893,193738.0
104,bekken,bˈɛkən,bɛ - kən,41556,374893,208224.5
105,raadpleegde,rˈaːdpleːɣdə,raːd - pleːɣ - də,278,195887,65588.0
106,huilen,hˈœylən,hœy - lən,7556,50068,28812.0
107,alcoholist,ˌɑlkoːhoːlˈɪst,ɑl - koːh - oː - lɪst,1,128988,38351.0
108,weer,ʋˈɪːr,ʋɪːr,61577,61577,61577.0
109,bekende,bəkˈɛndə,bə - kɛn - də,20990,195887,79927.0
110,psycholoog,psˈɪxoːlˌoːx,psɪx - oː - loːx,3758,23008,10179.333333333334
111,scholier,sxoːlˈir,sxoː - lir,75,9913,4994.0
112,meester,mˈeːstˌɛr,meː - stɛr,10357,30862,20609.5
113,terugval,tərˈɵxvˌɑl,tə - rɵx - vɑl,942,173653,64315.666666666664
114,treitert,trˈɛɪtərt,trɛ - ɪ - tərt,21,2661381,897304.3333333334
115,alweer,ɑlʋˈɪr,ɑl - ʋɪr,19,128988,64503.5
116,stoel,stˈul,stul,101,101,101.0
117,punaises,pˌynɑjzˈɛs,py - nɑj - zɛs,442,8951,5068.333333333333
118,gelegd,ɣəlˈɛxt,ɣə - lɛxt,20252,201458,110855.0
119,jochem,jˈɔxəm,jɔx - əm,47,204,125.5
120,op,ˈɔp,ɔp,231,231,231.0
121,te,tˈə,tə,173653,173653,173653.0
122,altijd,ˈɑltɛɪt,ɑl - tɛ - ɪt,13257,202416,114887.0
123,tijdens,tˈɛɪdəns,tɛ - ɪ - dəns,30,2661381,954609.0
124,basketbal,bˈɑskɛtbˌɑl,bɑ - skɛt - bɑl,799,13466,5766.333333333333
125,hoog,hˈoːx,hoːx,2495,2495,2495.0
126,springt,sprˈɪŋt,sprɪŋt,79,79,79.0
127,bezeerd,bəzˈɪːrt,bə - zɪːrt,1,20990,10495.5
128,agressieve,ˌɑɣrɛsˈivə,ɑ - ɣrɛ - si - və,26854,632504,183645.25
129,enkel,ˈɛŋkəl,ɛŋ - kəl,170,840,505.0
130,arresteert,ˌɑɾrɛstˈɪrt,ɑɾ - rɛ - stɪrt,2242,112511,45043.333333333336
131,politieman,poːlˈitsimˌɑn,poː - lit - si - mɑn,9767,52355,35686.75
132,kraker,krˈaːkər,kraː - kər,1046,109261,55153.5
133,hardhandig,hɑrdhˈɑndəx,hɑrdh - ɑn - dəx,109,14116,4863.666666666667
134,werk,ʋˈɛrk,ʋɛrk,59155,59155,59155.0
135,gaat,ɣˈaːt,ɣaːt,5709,5709,5709.0
136,staker,stˈaːkər,staː - kər,13353,109261,61307.0
137,angstige,ˈɑŋstəɣə,ɑŋ - stə - ɣə,201458,276162,241552.0
