,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count
87,trok,trˈɔk,trɔk,2428,2428,2428.0
88,handschoenen,hˈɑndsxunən,hɑnd - sxu - nən,1440,9940,4816.666666666667
89,met,mˈɛt,mɛt,344,344,344.0
90,aan,ˈaːn,aːn,1756,1756,1756.0
91,sportarts,spˈɔrtˌɑrts,spɔr - tɑrts,7,1266,636.5
92,gescheurde,ɣəsxˈøːrdə,ɣə - sxøːr - də,862,805074,338115.3333333333
93,adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt,3688,15434,10333.666666666666
94,pezen,pˈeːzən,peː - zən,53171,64717,58944.0
95,oma,ˈoːmaː,oː - maː,23008,127772,75390.0
96,hockeyer,hˈɔkəˌiər,hɔ - kə - i - ər,1714,671009,187408.5
97,verstand,vərstˈɑnt,vər - stɑnt,540,222213,111376.5
98,er,ˈər,ər,1714,1714,1714.0
99,heeft,hˈeːft,heːft,5,5,5.0
100,veel,vˈeːl,veːl,882,882,882.0
101,moest,mˈust,must,20348,20348,20348.0
102,verpleegster,vərplˈeːxstər,vər - pleːx - stər,1021,222213,93361.66666666667
103,gebroken,ɣəbrˈoːkən,ɣə - broː - kən,8218,805074,274446.0
104,bekken,bˈɛkən,bɛ - kən,8218,33993,21105.5
105,raadpleegde,rˈaːdpleːɣdə,raːd - pleːɣ - də,278,208410,69762.33333333333
106,huilen,hˈœylən,hœy - lən,6870,285422,146146.0
107,alcoholist,ˌɑlkoːhoːlˈɪst,ɑl - koːh - oː - lɪst,1407,738066,191091.75
108,weer,ʋˈɪːr,ʋɪːr,5014,5014,5014.0
109,bekende,bəkˈɛndə,bə - kɛn - də,10913,208410,136620.33333333334
110,psycholoog,psˈɪxoːlˌoːx,psɪx - oː - loːx,3758,23008,10179.333333333334
111,scholier,sxoːlˈir,sxoː - lir,75,8830,4452.5
112,meester,mˈeːstˌɛr,meː - stɛr,15305,33332,24318.5
113,terugval,tərˈɵxvˌɑl,tə - rɵx - vɑl,18352,1672687,570372.3333333334
114,treitert,trˈɛɪtərt,trɛ - ɪ - tərt,1287,845556,285766.6666666667
115,alweer,ɑlʋˈɪr,ɑl - ʋɪr,3548,738066,370807.0
116,stoel,stˈul,stul,749,749,749.0
117,punaises,pˌynɑjzˈɛs,py - nɑj - zɛs,21,7906,2742.3333333333335
118,gelegd,ɣəlˈɛxt,ɣə - lɛxt,20252,805074,412663.0
119,jochem,jˈɔxəm,jɔx - əm,204,2316,1260.0
120,op,ˈɔp,ɔp,84952,84952,84952.0
121,te,tˈə,tə,1672687,1672687,1672687.0
