,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.51628906,0.6251642,0.5978404,0.24506459
cluster_2,0.51628906,1.0,0.3236247,0.33881798,0.12692776
cluster_3,0.6251642,0.3236247,1.0,0.58884263,0.175271
cluster_4,0.5978404,0.33881798,0.58884263,1.0,0.3730231
cluster_5,0.24506459,0.12692776,0.175271,0.3730231,1.0
