,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.48639655,0.68913966,0.28390077,0.15131773,0.964722,0.39819843,0.6449898,0.28273076,0.20752148
bigrams_clusters:cluster_2,0.48639655,1.0,0.55365425,0.043210432,-0.057954475,0.51820576,0.8432235,0.42181376,0.3277959,0.093884416
bigrams_clusters:cluster_3,0.68913966,0.55365425,1.0,0.2706515,0.16844803,0.7203172,0.4228329,0.7005183,0.40918347,0.30081615
bigrams_clusters:cluster_4,0.28390077,0.043210432,0.2706515,1.0,0.5006865,0.31867722,0.04763924,0.41762936,0.34174776,0.7559223
bigrams_clusters:cluster_5,0.15131773,-0.057954475,0.16844803,0.5006865,1.0,0.148495,-0.11194045,0.15619305,0.007843158,0.5117313
visual_clusters:cluster_1,0.964722,0.51820576,0.7203172,0.31867722,0.148495,1.0,0.44784766,0.69803625,0.390688,0.2620282
visual_clusters:cluster_2,0.39819843,0.8432235,0.4228329,0.04763924,-0.11194045,0.44784766,1.0,0.44084075,0.32191274,0.07168603
visual_clusters:cluster_3,0.6449898,0.42181376,0.7005183,0.41762936,0.15619305,0.69803625,0.44084075,1.0,0.528174,0.3323716
visual_clusters:cluster_4,0.28273076,0.3277959,0.40918347,0.34174776,0.007843158,0.390688,0.32191274,0.528174,1.0,0.28021196
visual_clusters:cluster_5,0.20752148,0.093884416,0.30081615,0.7559223,0.5117313,0.2620282,0.07168603,0.3323716,0.28021196,1.0
