,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.44963905,0.8241925,0.5064463,0.357757
cluster_2,0.44963905,1.0,0.40535966,0.33711904,0.26674998
cluster_3,0.8241925,0.40535966,1.0,0.5097585,0.19690022
cluster_4,0.5064463,0.33711904,0.5097585,1.0,0.44595152
cluster_5,0.357757,0.26674998,0.19690022,0.44595152,1.0
