,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6072533,0.7168703,0.31413534,0.29169962,0.9594746,0.7090756,0.6242489,0.2010007,0.32883567
bigrams_clusters:cluster_2,0.6072533,1.0,0.64199823,0.20560054,0.1876509,0.6075945,0.89776206,0.46953276,0.12262288,0.17770189
bigrams_clusters:cluster_3,0.7168703,0.64199823,1.0,0.12178705,0.17304613,0.736533,0.6525087,0.76271677,0.0551366,0.15230227
bigrams_clusters:cluster_4,0.31413534,0.20560054,0.12178705,1.0,0.6478805,0.31750047,0.26295775,0.14064753,0.43343616,0.65896153
bigrams_clusters:cluster_5,0.29169962,0.1876509,0.17304613,0.6478805,1.0,0.30684698,0.25921118,0.24511482,0.32233298,0.6007735
visual_clusters:cluster_1,0.9594746,0.6075945,0.736533,0.31750047,0.30684698,1.0,0.71114093,0.65489715,0.19410941,0.29878062
visual_clusters:cluster_2,0.7090756,0.89776206,0.6525087,0.26295775,0.25921118,0.71114093,1.0,0.55448896,0.2179558,0.29052868
visual_clusters:cluster_3,0.6242489,0.46953276,0.76271677,0.14064753,0.24511482,0.65489715,0.55448896,1.0,0.30427378,0.21779492
visual_clusters:cluster_4,0.2010007,0.12262288,0.0551366,0.43343616,0.32233298,0.19410941,0.2179558,0.30427378,1.0,0.28281572
visual_clusters:cluster_5,0.32883567,0.17770189,0.15230227,0.65896153,0.6007735,0.29878062,0.29052868,0.21779492,0.28281572,1.0
