,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7863543,0.57786405,0.27039397,0.31605697,0.94367844,0.81402177,0.5439529,0.7223444,0.11223408
bigrams_clusters:cluster_2,0.7863543,1.0,0.5581877,0.23459238,0.31885716,0.8250879,0.95817447,0.49424416,0.6986751,0.17890057
bigrams_clusters:cluster_3,0.57786405,0.5581877,1.0,0.18652558,0.08506574,0.5643505,0.5368332,0.67826205,0.47287837,0.14550419
bigrams_clusters:cluster_4,0.27039397,0.23459238,0.18652558,1.0,0.51558363,0.32088876,0.23146245,0.39473006,0.5180397,0.7119777
bigrams_clusters:cluster_5,0.31605697,0.31885716,0.08506574,0.51558363,1.0,0.34373775,0.34583315,0.29448453,0.4619559,0.23635946
visual_clusters:cluster_1,0.94367844,0.8250879,0.5643505,0.32088876,0.34373775,1.0,0.84784293,0.56337714,0.8005463,0.17034924
visual_clusters:cluster_2,0.81402177,0.95817447,0.5368332,0.23146245,0.34583315,0.84784293,1.0,0.50678223,0.7214542,0.15693873
visual_clusters:cluster_3,0.5439529,0.49424416,0.67826205,0.39473006,0.29448453,0.56337714,0.50678223,1.0,0.63565964,0.25372744
visual_clusters:cluster_4,0.7223444,0.6986751,0.47287837,0.5180397,0.4619559,0.8005463,0.7214542,0.63565964,1.0,0.31123498
visual_clusters:cluster_5,0.11223408,0.17890057,0.14550419,0.7119777,0.23635946,0.17034924,0.15693873,0.25372744,0.31123498,1.0
