,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5418252,0.58179086,0.5252226,0.31122115,0.97577006,0.5287457,0.7575171,0.59765047,0.4692012
bigrams_clusters:cluster_2,0.5418252,1.0,0.5128026,0.32407632,0.10666266,0.576548,0.9118702,0.5587353,0.5510114,0.25108278
bigrams_clusters:cluster_3,0.58179086,0.5128026,1.0,0.23775966,0.13676615,0.5910901,0.4521953,0.78984976,0.33998093,0.2033643
bigrams_clusters:cluster_4,0.5252226,0.32407632,0.23775966,1.0,0.56968695,0.54646707,0.3167305,0.3659918,0.61371714,0.78005385
bigrams_clusters:cluster_5,0.31122115,0.10666266,0.13676615,0.56968695,1.0,0.30800623,0.15356559,0.25542334,0.24395132,0.4989299
visual_clusters:cluster_1,0.97577006,0.576548,0.5910901,0.54646707,0.30800623,1.0,0.5595454,0.7809076,0.6290875,0.4860891
visual_clusters:cluster_2,0.5287457,0.9118702,0.4521953,0.3167305,0.15356559,0.5595454,1.0,0.50992,0.49951953,0.21764581
visual_clusters:cluster_3,0.7575171,0.5587353,0.78984976,0.3659918,0.25542334,0.7809076,0.50992,1.0,0.5404892,0.34129113
visual_clusters:cluster_4,0.59765047,0.5510114,0.33998093,0.61371714,0.24395132,0.6290875,0.49951953,0.5404892,1.0,0.5334771
visual_clusters:cluster_5,0.4692012,0.25108278,0.2033643,0.78005385,0.4989299,0.4860891,0.21764581,0.34129113,0.5334771,1.0
