,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.525005,0.6396701,0.3157121,0.33050948
cluster_2,0.525005,1.0,0.29822615,0.20318389,0.27646703
cluster_3,0.6396701,0.29822615,1.0,0.3703345,0.16594893
cluster_4,0.3157121,0.20318389,0.3703345,1.0,0.4216601
cluster_5,0.33050948,0.27646703,0.16594893,0.4216601,1.0
