X,Y,Z,Region,Size (voxels),Cluster Peak T
-58,-10,-8,"Superior Temporal Gyrus, posterior division",1887,10.77
-18,-94,-8,Occipital Pole,1273,12.93
-46,32,-2,"Inferior Frontal Gyrus, pars triangularis",778,9.25
24,-96,-2,Occipital Pole,435,8.83
-2,44,-20,Frontal Medial Cortex,121,7.04
-10,58,34,Frontal Pole,86,6.18
54,-8,-14,"Superior Temporal Gyrus, posterior division",29,6.01
