X,Y,Z,Region,Size (voxels),Cluster Peak T
-4,-36,24,"Cingulate Gyrus, posterior division",942,9.00
8,34,28,Paracingulate Gyrus,494,6.15
46,46,16,Frontal Pole,201,6.23
-42,54,10,Frontal Pole,189,7.11
8,-16,12,Deep White Matter / CSF,159,6.43
52,-42,36,"Supramarginal Gyrus, posterior division",87,5.69
38,38,40,Frontal Pole,74,5.29
-40,-62,-42,Deep White Matter / CSF,36,5.26
24,16,58,Superior Frontal Gyrus,27,5.47
54,-70,6,"Lateral Occipital Cortex, inferior division",25,5.16
