,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7595265,0.6805973,0.48335543,0.12258926
cluster_2,0.7595265,1.0,0.6130477,0.3366853,0.13299045
cluster_3,0.6805973,0.6130477,1.0,0.44616476,0.18197341
cluster_4,0.48335543,0.3366853,0.44616476,1.0,0.2735078
cluster_5,0.12258926,0.13299045,0.18197341,0.2735078,1.0
