,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.66292536,0.7170953,0.3413946,0.2316032,0.9559626,0.62115854,0.6514939,0.62430054,0.26984435
bigrams_clusters:cluster_2,0.66292536,1.0,0.71001464,0.2897735,0.22139458,0.7328347,0.93451214,0.6385445,0.71056086,0.15824984
bigrams_clusters:cluster_3,0.7170953,0.71001464,1.0,0.29308376,0.21148424,0.7456336,0.6315659,0.85977775,0.6047717,0.20525777
bigrams_clusters:cluster_4,0.3413946,0.2897735,0.29308376,1.0,0.8199781,0.3321078,0.24270049,0.28040424,0.3716788,0.8352767
bigrams_clusters:cluster_5,0.2316032,0.22139458,0.21148424,0.8199781,1.0,0.22799751,0.15880212,0.20115009,0.27438667,0.7020886
visual_clusters:cluster_1,0.9559626,0.7328347,0.7456336,0.3321078,0.22799751,1.0,0.6862775,0.7243348,0.70266926,0.25394112
visual_clusters:cluster_2,0.62115854,0.93451214,0.6315659,0.24270049,0.15880212,0.6862775,1.0,0.5563371,0.6808079,0.136477
visual_clusters:cluster_3,0.6514939,0.6385445,0.85977775,0.28040424,0.20115009,0.7243348,0.5563371,1.0,0.7059068,0.17291737
visual_clusters:cluster_4,0.62430054,0.71056086,0.6047717,0.3716788,0.27438667,0.70266926,0.6808079,0.7059068,1.0,0.24084032
visual_clusters:cluster_5,0.26984435,0.15824984,0.20525777,0.8352767,0.7020886,0.25394112,0.136477,0.17291737,0.24084032,1.0
