,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.5990829,0.5973667,0.5745207,0.16289437
cluster_2,0.5990829,1.0,0.510189,0.45016357,0.09783685
cluster_3,0.5973667,0.510189,1.0,0.6201106,0.113293
cluster_4,0.5745207,0.45016357,0.6201106,1.0,0.2166411
cluster_5,0.16289437,0.09783685,0.113293,0.2166411,1.0
