,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6297489,0.52392334,0.39154547,0.26906672
cluster_2,0.6297489,1.0,0.42598003,0.39789066,0.16096811
cluster_3,0.52392334,0.42598003,1.0,0.41856512,0.08164247
cluster_4,0.39154547,0.39789066,0.41856512,1.0,0.3410397
cluster_5,0.26906672,0.16096811,0.08164247,0.3410397,1.0
