,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7473068,0.5654597,0.7072986,0.27294484
cluster_2,0.7473068,1.0,0.5274358,0.6582735,0.22228429
cluster_3,0.5654597,0.5274358,1.0,0.7171382,0.15982795
cluster_4,0.7072986,0.6582735,0.7171382,1.0,0.31388012
cluster_5,0.27294484,0.22228429,0.15982795,0.31388012,1.0
