,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.65418285,0.8002292,0.646212,0.29618692
cluster_2,0.65418285,1.0,0.6619835,0.52236205,0.20525113
cluster_3,0.8002292,0.6619835,1.0,0.6748368,0.23229663
cluster_4,0.646212,0.52236205,0.6748368,1.0,0.4259575
cluster_5,0.29618692,0.20525113,0.23229663,0.4259575,1.0
