,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6208582,0.7270795,0.71806973,0.40672007
cluster_2,0.6208582,1.0,0.5879511,0.54739016,0.2393648
cluster_3,0.7270795,0.5879511,1.0,0.5877797,0.29241458
cluster_4,0.71806973,0.54739016,0.5877797,1.0,0.44010186
cluster_5,0.40672007,0.2393648,0.29241458,0.44010186,1.0
