,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5750876,0.5602571,0.34345427,0.2803757,0.95450026,0.5441543,0.56727,0.36783332,0.24741901
bigrams_clusters:cluster_2,0.5750876,1.0,0.52906954,0.3495171,0.32780677,0.59818715,0.8815725,0.5761942,0.48446962,0.2680227
bigrams_clusters:cluster_3,0.5602571,0.52906954,1.0,0.27291545,0.2783169,0.59837836,0.41513434,0.72100115,0.32957467,0.17141485
bigrams_clusters:cluster_4,0.34345427,0.3495171,0.27291545,1.0,0.5608469,0.36363593,0.27614334,0.39078632,0.540889,0.65034616
bigrams_clusters:cluster_5,0.2803757,0.32780677,0.2783169,0.5608469,1.0,0.31602418,0.28203216,0.34039932,0.5546553,0.5605496
visual_clusters:cluster_1,0.95450026,0.59818715,0.59837836,0.36363593,0.31602418,1.0,0.5465051,0.6246493,0.42367682,0.27094397
visual_clusters:cluster_2,0.5441543,0.8815725,0.41513434,0.27614334,0.28203216,0.5465051,1.0,0.51178277,0.45672402,0.23589334
visual_clusters:cluster_3,0.56727,0.5761942,0.72100115,0.39078632,0.34039932,0.6246493,0.51178277,1.0,0.46503508,0.2881388
visual_clusters:cluster_4,0.36783332,0.48446962,0.32957467,0.540889,0.5546553,0.42367682,0.45672402,0.46503508,1.0,0.47916007
visual_clusters:cluster_5,0.24741901,0.2680227,0.17141485,0.65034616,0.5605496,0.27094397,0.23589334,0.2881388,0.47916007,1.0
