,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.73461235,0.5031992,0.42325422,0.33487204,0.96599805,0.7922878,0.7101585,0.7941311,0.42438793
bigrams_clusters:cluster_2,0.73461235,1.0,0.61591285,0.28335747,0.23842642,0.74985516,0.9257276,0.7120679,0.65333074,0.21987393
bigrams_clusters:cluster_3,0.5031992,0.61591285,1.0,0.2749488,0.36677167,0.50861365,0.49980077,0.7559274,0.40986583,0.18082654
bigrams_clusters:cluster_4,0.42325422,0.28335747,0.2749488,1.0,0.5629749,0.48039407,0.24948016,0.38902006,0.5656113,0.80547166
bigrams_clusters:cluster_5,0.33487204,0.23842642,0.36677167,0.5629749,1.0,0.3137467,0.23205797,0.43439502,0.2870381,0.4100776
visual_clusters:cluster_1,0.96599805,0.74985516,0.50861365,0.48039407,0.3137467,1.0,0.7754306,0.72428864,0.84764874,0.48906305
visual_clusters:cluster_2,0.7922878,0.9257276,0.49980077,0.24948016,0.23205797,0.7754306,1.0,0.66762096,0.64787936,0.20174138
visual_clusters:cluster_3,0.7101585,0.7120679,0.7559274,0.38902006,0.43439502,0.72428864,0.66762096,1.0,0.6714066,0.28994614
visual_clusters:cluster_4,0.7941311,0.65333074,0.40986583,0.5656113,0.2870381,0.84764874,0.64787936,0.6714066,1.0,0.5316088
visual_clusters:cluster_5,0.42438793,0.21987393,0.18082654,0.80547166,0.4100776,0.48906305,0.20174138,0.28994614,0.5316088,1.0
