,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6338244,0.59884703,0.23385698,0.22726606,0.95075303,0.6140469,0.608369,0.49793172,0.10962274
bigrams_clusters:cluster_2,0.6338244,1.0,0.5821924,0.19743982,0.24964932,0.6773999,0.92906034,0.5523751,0.53351355,0.033496205
bigrams_clusters:cluster_3,0.59884703,0.5821924,1.0,0.09121169,0.124977596,0.5991515,0.5328688,0.7824743,0.5150838,0.005313584
bigrams_clusters:cluster_4,0.23385698,0.19743982,0.09121169,1.0,0.61790323,0.23143378,0.23320256,0.076067336,0.19072539,0.5206071
bigrams_clusters:cluster_5,0.22726606,0.24964932,0.124977596,0.61790323,1.0,0.1997341,0.25934544,0.05922512,0.13955739,0.25045708
visual_clusters:cluster_1,0.95075303,0.6773999,0.5991515,0.23143378,0.1997341,1.0,0.6643374,0.634631,0.560939,0.11801176
visual_clusters:cluster_2,0.6140469,0.92906034,0.5328688,0.23320256,0.25934544,0.6643374,1.0,0.49788564,0.5046231,0.08695466
visual_clusters:cluster_3,0.608369,0.5523751,0.7824743,0.076067336,0.05922512,0.634631,0.49788564,1.0,0.6939026,0.06696982
visual_clusters:cluster_4,0.49793172,0.53351355,0.5150838,0.19072539,0.13955739,0.560939,0.5046231,0.6939026,1.0,0.16288842
visual_clusters:cluster_5,0.10962274,0.033496205,0.005313584,0.5206071,0.25045708,0.11801176,0.08695466,0.06696982,0.16288842,1.0
