,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.6685136,0.44986886,0.29964682,0.33374783,0.96772265,0.6206346,0.56183624,0.72050893,0.18667273
bigrams_clusters:cluster_2,0.6685136,1.0,0.5215009,0.19447923,0.30969217,0.68738467,0.9318718,0.6090099,0.64706284,0.07665422
bigrams_clusters:cluster_3,0.44986886,0.5215009,1.0,0.18551385,0.18667057,0.44174272,0.50430363,0.7092486,0.38733378,0.17524508
bigrams_clusters:cluster_4,0.29964682,0.19447923,0.18551385,1.0,0.6114227,0.31063864,0.20279913,0.20649673,0.39880392,0.72497994
bigrams_clusters:cluster_5,0.33374783,0.30969217,0.18667057,0.6114227,1.0,0.35638237,0.29090586,0.30381924,0.44046023,0.39265257
visual_clusters:cluster_1,0.96772265,0.68738467,0.44174272,0.31063864,0.35638237,1.0,0.6283639,0.5913327,0.7424503,0.17875469
visual_clusters:cluster_2,0.6206346,0.9318718,0.50430363,0.20279913,0.29090586,0.6283639,1.0,0.5523401,0.5646424,0.10811514
visual_clusters:cluster_3,0.56183624,0.6090099,0.7092486,0.20649673,0.30381924,0.5913327,0.5523401,1.0,0.5753189,0.0656652
visual_clusters:cluster_4,0.72050893,0.64706284,0.38733378,0.39880392,0.44046023,0.7424503,0.5646424,0.5753189,1.0,0.18520397
visual_clusters:cluster_5,0.18667273,0.07665422,0.17524508,0.72497994,0.39265257,0.17875469,0.10811514,0.0656652,0.18520397,1.0
