,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.5351814,0.45613337,0.6726406,0.39707094
cluster_2,0.5351814,1.0,0.5038354,0.66637576,0.17729221
cluster_3,0.45613337,0.5038354,1.0,0.44193485,0.18928744
cluster_4,0.6726406,0.66637576,0.44193485,1.0,0.27337387
cluster_5,0.39707094,0.17729221,0.18928744,0.27337387,1.0
