,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.47824466,0.7288796,0.53103006,0.2647615
cluster_2,0.47824466,1.0,0.40198585,0.20295623,0.065294385
cluster_3,0.7288796,0.40198585,1.0,0.61322075,0.06501873
cluster_4,0.53103006,0.20295623,0.61322075,1.0,0.27970806
cluster_5,0.2647615,0.065294385,0.06501873,0.27970806,1.0
