,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.40600315,0.30516875,0.25640103,0.2580011,0.9378079,0.19980107,0.4281673,0.42576265,0.29562294
bigrams_clusters:cluster_2,0.40600315,1.0,0.58061284,0.43142825,0.2302952,0.44720113,0.82922506,0.5673815,0.40158036,0.31550807
bigrams_clusters:cluster_3,0.30516875,0.58061284,1.0,0.24462305,0.08058377,0.30147606,0.30450335,0.76158774,0.29687896,0.28415644
bigrams_clusters:cluster_4,0.25640103,0.43142825,0.24462305,1.0,0.67652595,0.33042732,0.41464585,0.2075881,0.6281109,0.63593084
bigrams_clusters:cluster_5,0.2580011,0.2302952,0.08058377,0.67652595,1.0,0.2896124,0.2880735,0.08951494,0.5178127,0.38926202
visual_clusters:cluster_1,0.9378079,0.44720113,0.30147606,0.33042732,0.2896124,1.0,0.23770677,0.45480233,0.5373223,0.32759994
visual_clusters:cluster_2,0.19980107,0.82922506,0.30450335,0.41464585,0.2880735,0.23770677,1.0,0.24182709,0.2895928,0.25883758
visual_clusters:cluster_3,0.4281673,0.5673815,0.76158774,0.2075881,0.08951494,0.45480233,0.24182709,1.0,0.4074787,0.119806565
visual_clusters:cluster_4,0.42576265,0.40158036,0.29687896,0.6281109,0.5178127,0.5373223,0.2895928,0.4074787,1.0,0.39555982
visual_clusters:cluster_5,0.29562294,0.31550807,0.28415644,0.63593084,0.38926202,0.32759994,0.25883758,0.119806565,0.39555982,1.0
