,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
52,smeris,smˈɪːrɪs,smɪː - rɪs,4667.0,7687.0,6177.0,"['sm', 'me', 'er', 'ri', 'is']","[89457.0, 1659354.0, 6799370.0, 1787712.0, 3439538.0]",4.356803259887172,1002.0,3.000867721531227,2.0,4.957955764350629,4.957955764350629
53,ontvlucht,ɔntvlˈɵxt,ɔnt - vlɵxt,104.0,170331.0,85217.5,"['on', 'nt', 'tv', 'vl', 'lu', 'uc', 'ch', 'ht']","[2451854.0, 1477178.0, 32599.0, 105784.0, 273011.0, 94927.0, 1999086.0, 373636.0]",3.1408321618775217,60.0,1.7781512503836436,2.0,4.8915733600910665,6.062767753056736
54,is,ˈɪs,ɪs,3293.0,3293.0,3293.0,['is'],[3439538.0],7.332113171077506,947568.0,5.976610385885594,1.0,7.204063031778058,7.204063031778058
55,een,ˈeːn,eːn,13923.0,13923.0,13923.0,"['ee', 'en']","[944702.0, 8542439.0]",7.25087735208062,785913.0,5.895374472615543,1.0,7.149183374776684,7.149183374776684
56,kronkelig,krˈɔŋkələx,krɔŋ - kə - ləx,168.0,671009.0,224714.0,"['kr', 'ro', 'on', 'nk', 'ke', 'el', 'li', 'ig']","[88851.0, 1417238.0, 2451854.0, 476574.0, 3143026.0, 4671207.0, 3369152.0, 960409.0]",2.0544723312027733,4.0,0.6020599913279624,3.0,3.5886592205525343,3.5886592205525343
57,paadje,pˈaːtjə,paːt - jə,561.0,145604.0,73082.5,"['pa', 'aa', 'ad', 'dj', 'je']","[319786.0, 2730922.0, 474501.0, 16143.0, 913788.0]",2.2585923138586983,7.0,0.8450980400142568,2.0,2.340874736841778,2.340874736841778
58,ingerend,ˈɪnɣərˌɛnt,ɪn - ɣə - rɛnt,1319.0,805074.0,340163.0,"['in', 'ng', 'ge', 'er', 're', 'en', 'nd']","[2264626.0, 2927082.0, 3692145.0, 6799370.0, 1607974.0, 8542439.0, 2576478.0]",1.6565323225307358,1.0,0.0,3.0,5.013682806680503,6.931581996104608
59,eigenaars,ˈɛɪɣənˌaːrs,ɛɪ - ɣə - naːrs,10.0,805074.0,269855.0,"['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar', 'rs']","[2483878.0, 960409.0, 3692145.0, 8542439.0, 523332.0, 2730922.0, 1754491.0, 834594.0]",3.525764042261712,147.0,2.167317334748176,3.0,4.656845082298696,5.878596988457877
60,van,vˈɑn,vɑn,41161.0,41161.0,41161.0,"['va', 'an']","[313419.0, 4143386.0]",7.013737971559847,455234.0,5.658234690691403,1.0,6.971767092133783,6.971767092133783
61,het,hˈət,hət,1068396.0,1068396.0,1068396.0,"['he', 'et']","[822995.0, 1684914.0]",7.384234986742789,1068396.0,6.028732253384173,1.0,7.259388564229563,7.259388564229563
