Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF
einde,ˈɛɪndə,ɛɪn - də,22.0,208410.0,104216.0,"['ei', 'in', 'nd', 'de']","[2483878.0, 2264626.0, 2576478.0, 2559661.0]",5.049229275790402,4939.0,3.693639026161548
raad,rˈaːt,raːt,4640.0,4640.0,4640.0,"['ra', 'aa', 'ad']","[2220035.0, 2730922.0, 474501.0]",4.915528575779647,3630.0,3.5599066250361124
vorige,vˈoːrəɣə,voː - rə - ɣə,21981.0,805074.0,418603.6666666667,"['vo', 'or', 'ri', 'ig', 'ge']","[2123358.0, 2597583.0, 1787712.0, 960409.0, 3692145.0]",4.934370655532783,3791.0,3.5787537844264348
week,ʋˈeːk,ʋeːk,252.0,252.0,252.0,"['we', 'ee', 'ek']","[1965886.0, 944702.0, 762098.0]",5.368508176882491,10303.0,4.012963699825778
kreeg,krˈeːx,kreːx,55.0,55.0,55.0,"['kr', 're', 'ee', 'eg']","[88851.0, 1607974.0, 944702.0, 1125580.0]",5.22660802785234,7431.0,3.8710472613054994
assistent,ˌɑsɪstˈɛnt,ɑ - sɪ - stɛnt,301.0,632746.0,213085.0,"['as', 'ss', 'si', 'is', 'st', 'te', 'en', 'nt']","[504791.0, 1070262.0, 1091620.0, 3439538.0, 2307098.0, 3522714.0, 8542439.0, 1477178.0]",4.311670757342117,903.0,2.9556877503135057
bruine,brˈœynə,brœy - nə,13589.0,39948.0,26768.5,"['br', 'ru', 'ui', 'in', 'ne']","[191839.0, 1082518.0, 687028.0, 2264626.0, 1475977.0]",4.095865016360999,549.0,2.739572344450092
tanden,tˈɑndən,tɑn - dən,1202.0,7143.0,4172.5,"['ta', 'an', 'nd', 'de', 'en']","[892070.0, 4143386.0, 2576478.0, 2559661.0, 8542439.0]",4.625715181762997,1862.0,3.269979676645324
behandelde,bəhˈɑndəldə,bəh - ɑn - dəl - də,863.0,1517022.0,435163.25,"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'ld', 'de']","[2443609.0, 134898.0, 1299761.0, 4143386.0, 2576478.0, 2559661.0, 4671207.0, 840998.0, 2559661.0]",3.76204250730071,254.0,2.404833716619938
uitslag,ˈœytslˌɑx,œyt - slɑx,5320.0,235788.0,120554.0,"['ui', 'it', 'ts', 'sl', 'la', 'ag']","[687028.0, 333345.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.0756616302727116,524.0,2.7193312869837265
maandag,mˈaːndɑx,maːn - dɑx,3941.0,40154.0,22047.5,"['ma', 'aa', 'an', 'nd', 'da', 'ag']","[957657.0, 2730922.0, 4143386.0, 2576478.0, 1096946.0, 400262.0]",4.487762016397799,1355.0,3.1319392952104246
medicus,mˈeːdikˌɵs,meː - di - kɵs,23.0,441857.0,176402.33333333334,"['me', 'ed', 'di', 'ic', 'cu', 'us']","[1659354.0, 636500.0, 1050254.0, 911860.0, 27593.0, 727825.0]",2.786866091025742,26.0,1.414973347970818
vreemde,vrˈeːmdə,vreːm - də,87.0,208410.0,104248.5,"['vr', 're', 'ee', 'em', 'md', 'de']","[62231.0, 1607974.0, 944702.0, 924741.0, 10432.0, 2559661.0]",4.789591965284645,2716.0,3.433929765608464
pokken,pˈɔkən,pɔ - kən,3052.0,374698.0,188875.0,"['po', 'ok', 'kk', 'ke', 'en']","[490468.0, 155024.0, 65091.0, 3143026.0, 8542439.0]",3.2188251869872104,72.0,1.8573324964312685
zelf,zˈɛlf,zɛlf,307.0,307.0,307.0,"['ze', 'el', 'lf']","[1671440.0, 4671207.0, 34029.0]",5.637239998573673,19130.0,4.281714970027296
laatst,lˈaːtst,laːtst,4412.0,4412.0,4412.0,"['la', 'aa', 'at', 'ts', 'st']","[2444604.0, 2730922.0, 996808.0, 235160.0, 2307098.0]",4.7780921667182366,2645.0,3.4224256763712044
gevreesde,ɣəvrˈeːzdə,ɣə - vreːz - də,275.0,805074.0,337919.6666666667,"['ge', 'ev', 'vr', 're', 'ee', 'es', 'sd', 'de']","[3692145.0, 317289.0, 62231.0, 1607974.0, 944702.0, 1784615.0, 52948.0, 2559661.0]",3.2745804192428283,82.0,1.9138138523837167
psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər,3728.0,3606231.0,1256018.75,"['ps', 'sy', 'yc', 'ch', 'hi', 'ia', 'at', 'te', 'er']","[133657.0, 156747.0, 108972.0, 1999086.0, 484018.0, 112581.0, 996808.0, 3522714.0, 6799370.0]",4.291513122581964,862.0,2.9355072658247128
verslaafde,vərslˈaːvdə,vər - slaːv - də,461.0,208410.0,90109.66666666669,"['ve', 'er', 'rs', 'sl', 'la', 'aa', 'af', 'fd', 'de']","[1767776.0, 6799370.0, 834594.0, 1064500.0, 2444604.0, 2730922.0, 472535.0, 81902.0, 2559661.0]",3.625015271084671,185.0,2.2671717284030137
zijn,zˈɛɪn,zɛɪn,351001.0,351001.0,351001.0,"['zi', 'ij', 'jn']","[123482.0, 1639122.0, 79695.0]",6.897639056623649,348446.0,5.5421354833834
ontslag,ɔntslˈɑx,ɔnt - slɑx,5320.0,170331.0,87825.5,"['on', 'nt', 'ts', 'sl', 'la', 'ag']","[2451854.0, 1477178.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.476405144481282,1320.0,3.12057393120585
overtreder,ˌoːvərtrˈeːdər,oː - vər - treː - dər,15839.0,61458.0,37647.75,"['ov', 've', 'er', 'rt', 'tr', 're', 'ed', 'de', 'er']","[145547.0, 1767776.0, 6799370.0, 1154116.0, 1199332.0, 1607974.0, 636500.0, 2559661.0, 6799370.0]",2.6979250076889607,21.0,1.3222192947339193
smeris,smˈɪːrɪs,smɪː - rɪs,4667.0,7687.0,6177.0,"['sm', 'me', 'er', 'ri', 'is']","[89457.0, 1659354.0, 6799370.0, 1787712.0, 3439538.0]",4.356803259887172,1002.0,3.000867721531227
ontvlucht,ɔntvlˈɵxt,ɔnt - vlɵxt,104.0,170331.0,85217.5,"['on', 'nt', 'tv', 'vl', 'lu', 'uc', 'ch', 'ht']","[2451854.0, 1477178.0, 32599.0, 105784.0, 273011.0, 94927.0, 1999086.0, 373636.0]",3.1408321618775217,60.0,1.7781512503836436
is,ˈɪs,ɪs,3293.0,3293.0,3293.0,['is'],[3439538.0],7.332113171077506,947568.0,5.976610385885594
een,ˈeːn,eːn,13923.0,13923.0,13923.0,"['ee', 'en']","[944702.0, 8542439.0]",7.25087735208062,785913.0,5.895374472615543
kronkelig,krˈɔŋkələx,krɔŋ - kə - ləx,168.0,671009.0,224714.0,"['kr', 'ro', 'on', 'nk', 'ke', 'el', 'li', 'ig']","[88851.0, 1417238.0, 2451854.0, 476574.0, 3143026.0, 4671207.0, 3369152.0, 960409.0]",2.0544723312027733,4.0,0.6020599913279624
paadje,pˈaːtjə,paːt - jə,561.0,145604.0,73082.5,"['pa', 'aa', 'ad', 'dj', 'je']","[319786.0, 2730922.0, 474501.0, 16143.0, 913788.0]",2.2585923138586983,7.0,0.8450980400142568
ingerend,ˈɪnɣərˌɛnt,ɪn - ɣə - rɛnt,1319.0,805074.0,340163.0,"['in', 'ng', 'ge', 'er', 're', 'en', 'nd']","[2264626.0, 2927082.0, 3692145.0, 6799370.0, 1607974.0, 8542439.0, 2576478.0]",1.6565323225307358,1.0,0.0
eigenaars,ˈɛɪɣənˌaːrs,ɛɪ - ɣə - naːrs,10.0,805074.0,269855.0,"['ei', 'ig', 'ge', 'en', 'na', 'aa', 'ar', 'rs']","[2483878.0, 960409.0, 3692145.0, 8542439.0, 523332.0, 2730922.0, 1754491.0, 834594.0]",3.525764042261712,147.0,2.167317334748176
van,vˈɑn,vɑn,41161.0,41161.0,41161.0,"['va', 'an']","[313419.0, 4143386.0]",7.013737971559847,455234.0,5.658234690691403
het,hˈət,hət,1068396.0,1068396.0,1068396.0,"['he', 'et']","[822995.0, 1684914.0]",7.384234986742789,1068396.0,6.028732253384173
landgoed,lˈɑndɣˌut,lɑnd - ɣut,35.0,1031.0,533.0,"['la', 'an', 'nd', 'dg', 'go', 'oe', 'ed']","[2444604.0, 4143386.0, 2576478.0, 70106.0, 147343.0, 837795.0, 636500.0]",3.893321421940029,344.0,2.53655844257153
honderden,hˈɔndɛrdən,hɔn - dɛr - dən,7143.0,22235.0,14776.666666666666,"['ho', 'on', 'nd', 'de', 'er', 'rd', 'de', 'en']","[1237078.0, 2451854.0, 2576478.0, 2559661.0, 6799370.0, 823655.0, 2559661.0, 8542439.0]",4.353761665290453,995.0,2.9978230807457256
bezoekers,bəzˈukərs,bə - zu - kərs,7544.0,22499.0,17022.0,"['be', 'ez', 'zo', 'oe', 'ek', 'ke', 'er', 'rs']","[2443609.0, 100963.0, 40239.0, 837795.0, 762098.0, 3143026.0, 6799370.0, 834594.0]",3.9959837638371765,436.0,2.639486489268586
rondleiden,rˈɔndlɛɪdən,rɔnd - lɛɪ - dən,4177.0,69175.0,26831.666666666668,"['ro', 'on', 'nd', 'dl', 'le', 'ei', 'id', 'de', 'en']","[1417238.0, 2451854.0, 2576478.0, 30978.0, 4397946.0, 2483878.0, 469631.0, 2559661.0, 8542439.0]",3.4660920371660033,128.0,2.1072099696478683
trots,trˈɔts,trɔts,2.0,2.0,2.0,"['tr', 'ro', 'ot', 'ts']","[1199332.0, 1417238.0, 1595020.0, 235160.0]",5.04347694690131,4874.0,3.6878855248487055
gisteren,ɣˈɪstərən,ɣɪ - stə - rən,6659.0,247036.0,93480.66666666669,"['gi', 'is', 'st', 'te', 'er', 're', 'en']","[669114.0, 3439538.0, 2307098.0, 3522714.0, 6799370.0, 1607974.0, 8542439.0]",5.116226299008707,5763.0,3.760648619581356
had,hˈɑt,hɑt,92535.0,92535.0,92535.0,"['ha', 'ad']","[1299761.0, 474501.0]",6.319780818520769,92103.0,4.964273776366518
brede,brˈeːdə,breː - də,5528.0,208410.0,106969.0,"['br', 're', 'ed', 'de']","[191839.0, 1607974.0, 636500.0, 2559661.0]",3.495381413267991,137.0,2.1367205671564067
bodyguard,bˈoːdiɣˌyɑrt,boː - di - ɣy - ɑrt,4291.0,441857.0,122951.0,"['bo', 'od', 'dy', 'yg', 'gu', 'ua', 'ar', 'rd']","[1606593.0, 193327.0, 29948.0, 317.0, 24620.0, 213527.0, 1754491.0, 823655.0]",3.376691625936693,104.0,2.0170333392987803
filmster,fˈɪlmstər,fɪlm - stər,3556.0,12170.0,7863.0,"['fi', 'il', 'lm', 'ms', 'st', 'te', 'er']","[301366.0, 2591190.0, 28212.0, 35219.0, 2307098.0, 3522714.0, 6799370.0]",3.7852546068691626,268.0,2.428134794028789
beschermde,bəsxˈɛrmdə,bə - sxɛrm - də,412.0,208410.0,76615.0,"['be', 'es', 'sc', 'ch', 'he', 'er', 'rm', 'md', 'de']","[2443609.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 6799370.0, 1049306.0, 10432.0, 2559661.0]",3.802660358208974,279.0,2.4456042032735974
vrije,vrˈɛɪə,vrɛɪ - ə,3237.0,2281166.0,1142201.5,"['vr', 'ri', 'ij', 'je']","[62231.0, 1787712.0, 1639122.0, 913788.0]",4.590778203553807,1718.0,3.2350231594952237
dag,dˈɑx,dɑx,40154.0,40154.0,40154.0,"['da', 'ag']","[1096946.0, 400262.0]",5.92496987479219,37107.0,4.569455844240683
morgen,mˈɔrɣən,mɔr - ɣən,8206.0,444799.0,226502.5,"['mo', 'or', 'rg', 'ge', 'en']","[1055897.0, 2597583.0, 709881.0, 3692145.0, 8542439.0]",5.62326054351812,18524.0,4.267734772321856
krijgt,krˈɛɪxt,krɛɪxt,14336.0,14336.0,14336.0,"['kr', 'ri', 'ij', 'jg', 'gt']","[88851.0, 1787712.0, 1639122.0, 21485.0, 21874.0]",5.507637723728631,14194.0,4.152104800892868
ober,ˈoːbər,oː - bər,7533.0,23008.0,15270.5,"['ob', 'be', 'er']","[95880.0, 2443609.0, 6799370.0]",3.997966847108876,438.0,2.6414741105040993
beroemde,bərˈumdə,bə - rum - də,1147.0,208410.0,76860.0,"['be', 'er', 'ro', 'oe', 'em', 'md', 'de']","[2443609.0, 6799370.0, 1417238.0, 837795.0, 924741.0, 10432.0, 2559661.0]",4.26505835610793,811.0,2.909020854211156
president,prˌeːzidˈɛnt,preː - zi - dɛnt,421.0,32329.0,13548.666666666666,"['pr', 're', 'es', 'si', 'id', 'de', 'en', 'nt']","[242781.0, 1607974.0, 1784615.0, 1091620.0, 469631.0, 2559661.0, 8542439.0, 1477178.0]",5.105933575526956,5628.0,3.750354088762708
beledigde,bəlˈeːdɪɣdə,bə - leː - dɪɣ - də,1977.0,208410.0,69460.75,"['be', 'el', 'le', 'ed', 'di', 'ig', 'gd', 'de']","[2443609.0, 4671207.0, 4397946.0, 636500.0, 1050254.0, 960409.0, 109191.0, 2559661.0]",3.3286301804664533,93.0,1.968482948553935
arts,ˈɑrts,ɑrts,393.0,393.0,393.0,"['ar', 'rt', 'ts']","[1754491.0, 1154116.0, 235160.0]",4.512354227936766,1434.0,3.1565491513317814
vieze,vˈizə,vi - zə,56663.0,243958.0,150310.5,"['vi', 'ie', 'ez', 'ze']","[226005.0, 2076673.0, 100963.0, 1671440.0]",4.340029640210547,964.0,2.984077033902831
bandage,bɑndˈaːʒə,bɑn - daː - ʒə,8546.0,15995.0,11538.0,"['ba', 'an', 'nd', 'da', 'ag', 'ge']","[584273.0, 4143386.0, 2576478.0, 1096946.0, 400262.0, 3692145.0]",1.6565323225307358,1.0,0.0
verschoonde,vərsxˈoːndə,vər - sxoːn - də,2488.0,208410.0,90785.33333333331,"['ve', 'er', 'rs', 'sc', 'ch', 'ho', 'oo', 'on', 'nd', 'de']","[1767776.0, 6799370.0, 834594.0, 1079447.0, 1999086.0, 1237078.0, 3901750.0, 2451854.0, 2576478.0, 2559661.0]",2.3555023268667545,9.0,0.9542425094393249
trok,trˈɔk,trɔk,2428.0,2428.0,2428.0,"['tr', 'ro', 'ok']","[1199332.0, 1417238.0, 155024.0]",4.421828252228792,1164.0,3.06595298031387
eerst,ˈɪːrst,ɪːrst,16800.0,16800.0,16800.0,"['ee', 'er', 'rs', 'st']","[944702.0, 6799370.0, 834594.0, 2307098.0]",5.5515955706042694,15706.0,4.196065593116304
plastic,plˈɑstɪk,plɑ - stɪk,50.0,7046.0,3548.0,"['pl', 'la', 'as', 'st', 'ti', 'ic']","[97171.0, 2444604.0, 504791.0, 2307098.0, 1353437.0, 911860.0]",4.174387741460764,658.0,2.8182258936139557
handschoenen,hˈɑndsxunən,hɑnd - sxu - nən,1440.0,257062.0,87190.66666666667,"['ha', 'an', 'nd', 'ds', 'sc', 'ch', 'ho', 'oe', 'en', 'ne', 'en']","[1299761.0, 4143386.0, 2576478.0, 357110.0, 1079447.0, 1999086.0, 1237078.0, 837795.0, 8542439.0, 1475977.0, 8542439.0]",4.077312942079301,526.0,2.7209857441537393
aan,ˈaːn,aːn,1756.0,1756.0,1756.0,"['aa', 'an']","[2730922.0, 4143386.0]",6.580444371128541,167857.0,5.224939456981016
sportarts,,,,,,"['sp', 'po', 'or', 'rt', 'ta', 'ar', 'rt', 'ts']","[1518373.0, 490468.0, 2597583.0, 1154116.0, 892070.0, 1754491.0, 1154116.0, 235160.0]",,,0.0
hockeyer,hˈɔkəˌiər,hɔ - kə - i - ər,4873.0,3606231.0,1077498.25,"['ho', 'oc', 'ck', 'ke', 'ey', 'ye', 'er']","[1237078.0, 270017.0, 832103.0, 3143026.0, 458590.0, 19288.0, 6799370.0]",2.2006003668810115,6.0,0.7781512503836436
met,mˈɛt,mɛt,344.0,344.0,344.0,"['me', 'et']","[1659354.0, 1684914.0]",6.829561167099229,297891.0,5.47405738233763
gescheurde,ɣəsxˈøːrdə,ɣə - sxøːr - də,1430.0,805074.0,338304.6666666667,"['ge', 'es', 'sc', 'ch', 'he', 'eu', 'ur', 'rd', 'de']","[3692145.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 135956.0, 346154.0, 823655.0, 2559661.0]",3.1616823008506416,63.0,1.7993405494535817
pezen,pˈeːzən,peː - zən,2754.0,64717.0,33735.5,"['pe', 'ez', 'ze', 'en']","[1062538.0, 100963.0, 1671440.0, 8542439.0]",2.786866091025742,26.0,1.414973347970818
adviseert,ˌɑdvizˈɪrt,ɑd - vi - zɪrt,3688.0,56663.0,25261.666666666668,"['ad', 'dv', 'vi', 'is', 'se', 'ee', 'er', 'rt']","[474501.0, 10646.0, 226005.0, 3439538.0, 763112.0, 944702.0, 6799370.0, 1154116.0]",3.0087148406420985,44.0,1.6434526764861874
heeft,hˈeːft,heːft,159947.0,159947.0,159947.0,"['he', 'ee', 'ef', 'ft']","[822995.0, 944702.0, 169410.0, 179822.0]",6.559424117449305,159926.0,5.203919074994566
er,ˈər,ər,27880.0,27880.0,27880.0,['er'],[6799370.0],6.908525619042463,357291.0,5.553022076657057
veel,vˈeːl,veːl,323.0,323.0,323.0,"['ve', 'ee', 'el']","[1767776.0, 944702.0, 4671207.0]",6.0591633429385485,50542.0,4.7036524234125086
verstand,vərstˈɑnt,vər - stɑnt,10072.0,61458.0,35765.0,"['ve', 'er', 'rs', 'st', 'ta', 'an', 'nd']","[1767776.0, 6799370.0, 834594.0, 2307098.0, 892070.0, 4143386.0, 2576478.0]",4.578478776760146,1670.0,3.2227164711475833
oma,ˈoːmaː,oː - maː,23008.0,167764.0,95386.0,"['om', 'ma']","[2473734.0, 957657.0]",4.858884390340487,3186.0,3.503245771465113
gebroken,ɣəbrˈoːkən,ɣə - broː - kən,4863.0,805074.0,394878.3333333333,"['ge', 'eb', 'br', 'ro', 'ok', 'ke', 'en']","[3692145.0, 154238.0, 191839.0, 1417238.0, 155024.0, 3143026.0, 8542439.0]",4.816249868710951,2888.0,3.4605971888976015
bekken,bˈɛkən,bɛ - kən,6626.0,374698.0,190662.0,"['be', 'ek', 'kk', 'ke', 'en']","[2443609.0, 762098.0, 65091.0, 3143026.0, 8542439.0]",3.3511375214643047,98.0,1.9912260756924949
verpleegster,vərplˈeːxstər,vər - pleːx - stər,2311.0,61458.0,22441.666666666668,"['ve', 'er', 'rp', 'pl', 'le', 'ee', 'eg', 'gs', 'st', 'te', 'er']","[1767776.0, 6799370.0, 40052.0, 97171.0, 4397946.0, 944702.0, 1125580.0, 1154969.0, 2307098.0, 3522714.0, 6799370.0]",4.190558428586871,683.0,2.8344207036815323
raadpleegde,rˈaːdpleːɣdə,raːd - pleːɣ - də,21.0,208410.0,70083.0,"['ra', 'aa', 'ad', 'dp', 'pl', 'le', 'ee', 'eg', 'gd', 'de']","[2220035.0, 2730922.0, 474501.0, 1907.0, 97171.0, 4397946.0, 944702.0, 1125580.0, 109191.0, 2559661.0]",1.6565323225307358,1.0,0.0
moest,mˈust,must,2.0,2.0,2.0,"['mo', 'oe', 'es', 'st']","[1055897.0, 837795.0, 1784615.0, 2307098.0]",5.66368242789742,20331.0,4.308158740359688
huilen,hˈœylən,hœy - lən,50068.0,285422.0,167745.0,"['hu', 'ui', 'il', 'le', 'en']","[187605.0, 687028.0, 2591190.0, 4397946.0, 8542439.0]",4.732990710242888,2384.0,3.377306251068199
alcoholist,ˌɑlkoːhoːlˈɪst,ɑl - koːh - oː - lɪst,1606.0,129004.0,39330.25,"['al', 'lc', 'co', 'oh', 'ho', 'ol', 'li', 'is', 'st']","[2558689.0, 12727.0, 488809.0, 21900.0, 1237078.0, 2233880.0, 3369152.0, 3439538.0, 2307098.0]",3.7284143298368613,235.0,2.3710678622717363
bekende,bəkˈɛndə,bə - kɛn - də,21023.0,208410.0,96117.66666666669,"['be', 'ek', 'ke', 'en', 'nd', 'de']","[2443609.0, 762098.0, 3143026.0, 8542439.0, 2576478.0, 2559661.0]",4.266126731755955,813.0,2.910090545594068
psycholoog,psˈɪxoːlˌoːx,psɪx - oː - loːx,3728.0,23008.0,10783.333333333334,"['ps', 'sy', 'yc', 'ch', 'ho', 'ol', 'lo', 'oo', 'og']","[133657.0, 156747.0, 108972.0, 1999086.0, 1237078.0, 2233880.0, 1188135.0, 3901750.0, 285914.0]",3.7153378092066425,228.0,2.357934847000454
weer,ʋˈɪːr,ʋɪːr,61577.0,61577.0,61577.0,"['we', 'ee', 'er']","[1965886.0, 944702.0, 6799370.0]",6.052024711943977,49718.0,4.696513650009151
terugval,tərˈɵxvˌɑl,tə - rɵx - vɑl,942.0,995799.0,361994.6666666667,"['te', 'er', 'ru', 'ug', 'gv', 'va', 'al']","[3522714.0, 6799370.0, 1082518.0, 117069.0, 10398.0, 313419.0, 2558689.0]",3.071505670501554,51.0,1.7075701760979363
