Word,Bigrams,First_Bigram_Count,Min_Bigram_Count,First_bigram_Zipf,Min_bigram_Zipf
verzekerd,"['ve', 'er', 'rz', 'ze', 'ek', 'ke', 'er', 'rd']",1767776.0,85749.0,6.247427479128562,4.933234128714808
kwamen,"['kw', 'wa', 'am', 'me', 'en']",131960.0,131960.0,5.120445597967853,5.120445597967853
we,['we'],1965886.0,1965886.0,6.293558550786624,6.293558550786624
hollandse,"['ho', 'ol', 'll', 'la', 'an', 'nd', 'ds', 'se']",1237078.0,357110.0,6.092397434607738,5.55280322786213
bossen,"['bo', 'os', 'ss', 'se', 'en']",1606593.0,588208.0,6.205906140710445,5.769531665224492
prachtig,"['pr', 'ra', 'ac', 'ch', 'ht', 'ti', 'ig']",242781.0,242781.0,5.38521648474895,5.38521648474895
bezoekt,"['be', 'ez', 'zo', 'oe', 'ek', 'kt']",2443609.0,40239.0,6.388031893729547,4.604657972047871
zwitserse,"['zw', 'wi', 'it', 'ts', 'se', 'er', 'rs', 'se']",26656.0,26656.0,4.425811271981189,4.425811271981189
graag,"['gr', 'ra', 'aa', 'ag']",789301.0,400262.0,5.897243203258759,5.602345446116832
zoete,"['zo', 'oe', 'et', 'te']",40239.0,40239.0,4.604657972047871,4.604657972047871
pannekoek,"['pa', 'an', 'nn', 'ne', 'ek', 'ko', 'oe', 'ek']",319786.0,319786.0,5.5048608048041485,5.5048608048041485
gegeten,"['ge', 'eg', 'ge', 'et', 'te', 'en']",3692145.0,1125580.0,6.567278866173126,6.051376753523349
buikpijn,"['bu', 'ui', 'ik', 'kp', 'pi', 'ij', 'jn']",200521.0,16732.0,5.302162027601859,4.223573811054687
modieuze,"['mo', 'od', 'di', 'ie', 'eu', 'uz', 'ze']",1055897.0,46738.0,6.023621967272901,4.66967941624774
sarah,"['sa', 'ar', 'ra', 'ah']",319876.0,72291.0,5.504983014287968,4.859090239921249
wollen,"['wo', 'ol', 'll', 'le', 'en']",933919.0,933919.0,5.970309675966085,5.970309675966085
tassen,"['ta', 'as', 'ss', 'se', 'en']",892070.0,504791.0,5.950399421283193,5.703112463543158
markt,"['ma', 'ar', 'rk', 'kt']",957657.0,179298.0,5.981210440987696,5.25357786738877
bracht,"['br', 'ra', 'ac', 'ch', 'ht']",191839.0,191839.0,5.282939165754773,5.282939165754773
succes,"['su', 'uc', 'cc', 'ce', 'es']",38749.0,33482.0,4.588271706842329,4.524824362853967
ideale,"['id', 'de', 'ea', 'al', 'le']",469631.0,262246.0,5.671757681403816,5.41871052874015
breekijzer,"['br', 're', 'ee', 'ek', 'ki', 'ij', 'jz', 'ze', 'er']",191839.0,176535.0,5.282939165754773,5.246833282002038
onmisbaar,"['on', 'nm', 'mi', 'is', 'sb', 'ba', 'aa', 'ar']",2451854.0,16848.0,6.389494782909221,4.226574130289287
winkels,"['wi', 'in', 'nk', 'ke', 'el', 'ls']",658045.0,114609.0,5.818256253565166,5.05922251252969
twintig,"['tw', 'wi', 'in', 'nt', 'ti', 'ig']",57710.0,57710.0,4.761258599706673,4.761258599706673
dollar,"['do', 'ol', 'll', 'la', 'ar']",394555.0,394555.0,5.596108652070105,5.596108652070105
minder,"['mi', 'in', 'nd', 'de', 'er']",342154.0,342154.0,5.534222890836913,5.534222890836913
waard,"['wa', 'aa', 'ar', 'rd']",409327.0,409327.0,5.612071453488598,5.612071453488598
voorheen,"['vo', 'oo', 'or', 'rh', 'he', 'ee', 'en']",2123358.0,571432.0,6.327023427297477,5.756965317082898
krijg,"['kr', 'ri', 'ij', 'jg']",88851.0,21485.0,4.948667207934095,4.332155571395546
maar,"['ma', 'aa', 'ar']",957657.0,957657.0,5.981210440987696,5.981210440987696
talentvolle,"['ta', 'al', 'le', 'en', 'nt', 'tv', 'vo', 'ol', 'll', 'le']",892070.0,32599.0,5.950399421283193,4.513217600067939
uitstekend,"['ui', 'it', 'ts', 'st', 'te', 'ek', 'ke', 'en', 'nd']",687028.0,235160.0,5.836975069336347,5.371365298317344
pleidooi,"['pl', 'le', 'ei', 'id', 'do', 'oo', 'oi']",97171.0,97171.0,4.987541141497206,4.987541141497206
gehouden,"['ge', 'eh', 'ho', 'ou', 'ud', 'de', 'en']",3692145.0,134898.0,6.567278866173126,5.130008730279083
parkiet,"['pa', 'ar', 'rk', 'ki', 'ie', 'et']",319786.0,312362.0,5.5048608048041485,5.494659585232507
madam,"['ma', 'ad', 'da', 'am']",957657.0,474501.0,5.981210440987696,5.676238047294678
inspireert,"['in', 'ns', 'sp', 'pi', 'ir', 're', 'ee', 'er', 'rt']",2264626.0,612425.0,6.354996680882354,5.78705362000277
kooi,"['ko', 'oo', 'oi']",466342.0,466342.0,5.66870546220922,5.66870546220922
hevige,"['he', 'ev', 'vi', 'ig', 'ge']",822995.0,226005.0,5.915397724419865,5.354119968936349
bliksem,"['bl', 'li', 'ik', 'ks', 'se', 'em']",152155.0,117147.0,5.1822890826587855,5.068734878537947
kilometer,"['ki', 'il', 'lo', 'om', 'me', 'et', 'te', 'er']",312362.0,312362.0,5.494659585232507,5.494659585232507
verder,"['ve', 'er', 'rd', 'de', 'er']",1767776.0,823655.0,6.247427479128562,5.915745866435793
insloeg,"['in', 'ns', 'sl', 'lo', 'oe', 'eg']",2264626.0,612425.0,6.354996680882354,5.78705362000277
zorgde,"['zo', 'or', 'rg', 'gd', 'de']",40239.0,40239.0,4.604657972047871,4.604657972047871
brand,"['br', 'ra', 'an', 'nd']",191839.0,191839.0,5.282939165754773,5.282939165754773
beet,"['be', 'ee', 'et']",2443609.0,944702.0,6.388031893729547,5.975295294504483
zomaar,"['zo', 'om', 'ma', 'aa', 'ar']",40239.0,40239.0,4.604657972047871,4.604657972047871
lekkere,"['le', 'ek', 'kk', 'ke', 'er', 're']",4397946.0,65091.0,6.643249991339862,4.8135276157671045
taart,"['ta', 'aa', 'ar', 'rt']",892070.0,892070.0,5.950399421283193,5.950399421283193
corrupte,"['co', 'or', 'rr', 'ru', 'up', 'pt', 'te']",488809.0,51653.0,5.689140082055273,4.7131039582015015
bankier,"['ba', 'an', 'nk', 'ki', 'ie', 'er']",584273.0,312362.0,5.766616560779267,5.494659585232507
goede,"['go', 'oe', 'ed', 'de']",147343.0,147343.0,5.168332455625744,5.168332455625744
zaken,"['za', 'ak', 'ke', 'en']",308657.0,308657.0,5.489477537777548,5.489477537777548
deed,"['de', 'ee', 'ed']",2559661.0,636500.0,6.408182621082838,5.803799090305684
geweten,"['ge', 'ew', 'we', 'et', 'te', 'en']",3692145.0,587000.0,6.567278866173126,5.768638841101297
vastzittende,"['va', 'as', 'st', 'tz', 'zi', 'it', 'tt', 'te', 'en', 'nd', 'de']",313419.0,34151.0,5.496126706275837,4.5334161417958905
kinderen,"['ki', 'in', 'nd', 'de', 'er', 're', 'en']",312362.0,312362.0,5.494659585232507,5.494659585232507
passanten,"['pa', 'as', 'ss', 'sa', 'an', 'nt', 'te', 'en']",319786.0,319786.0,5.5048608048041485,5.5048608048041485
project,"['pr', 'ro', 'oj', 'je', 'ec', 'ct']",242781.0,1052.0,5.38521648474895,3.0224283711854865
kost,"['ko', 'os', 'st']",466342.0,466342.0,5.66870546220922,5.66870546220922
lijkt,"['li', 'ij', 'jk', 'kt']",3369152.0,179298.0,6.527520733613047,5.25357786738877
vallen,"['va', 'al', 'll', 'le', 'en']",313419.0,313419.0,5.496126706275837,5.496126706275837
gebakken,"['ge', 'eb', 'ba', 'ak', 'kk', 'ke', 'en']",3692145.0,65091.0,6.567278866173126,4.8135276157671045
ei,['ei'],2483878.0,2483878.0,6.39513043574277,6.39513043574277
kapotte,"['ka', 'ap', 'po', 'ot', 'tt', 'te']",424843.0,270616.0,5.628229489164837,5.43235507524124
dooier,"['do', 'oo', 'oi', 'ie', 'er']",394555.0,394555.0,5.596108652070105,5.596108652070105
heerlijk,"['he', 'ee', 'er', 'rl', 'li', 'ij', 'jk']",822995.0,344538.0,5.915397724419865,5.537238388873952
collega's,"['co', 'ol', 'll', 'le', 'eg', 'ga', ""a'"", ""'s""]",488809.0,0.0,5.689140082055273,0.0
troosten,"['tr', 'ro', 'oo', 'os', 'st', 'te', 'en']",1199332.0,588208.0,6.078939783585439,5.769531665224492
techneut,"['te', 'ec', 'ch', 'hn', 'ne', 'eu', 'ut']",3522714.0,65507.0,6.546877508655531,4.816294340353586
huilt,"['hu', 'ui', 'il', 'lt']",187605.0,187605.0,5.273246723836341,5.273246723836341
darmen,"['da', 'ar', 'rm', 'me', 'en']",1096946.0,1049306.0,6.0401856447455495,6.020902570080904
varken,"['va', 'ar', 'rk', 'ke', 'en']",313419.0,313419.0,5.496126706275837,5.496126706275837
afkomen,"['af', 'fk', 'ko', 'om', 'me', 'en']",472535.0,2188.0,5.674434900688191,3.3402457615679317
gevuld,"['ge', 'ev', 'vu', 'ul', 'ld']",3692145.0,317289.0,6.567278866173126,5.501456384696516
botte,"['bo', 'ot', 'tt', 'te']",1606593.0,519286.0,6.205906140710445,5.715407450461542
bioloog,"['bi', 'io', 'ol', 'lo', 'oo', 'og']",743491.0,285914.0,5.871276299859255,5.4562369404099025
kwaad,"['kw', 'wa', 'aa', 'ad']",131960.0,131960.0,5.120445597967853,5.120445597967853
bukte,"['bu', 'uk', 'kt', 'te']",200521.0,56724.0,5.302162027601859,4.753774504556974
struikelde,"['st', 'tr', 'ru', 'ui', 'ik', 'ke', 'el', 'ld', 'de']",2307098.0,157922.0,6.363066230945546,5.19844538552231
behangrol,"['be', 'eh', 'ha', 'an', 'ng', 'gr', 'ro', 'ol']",2443609.0,134898.0,6.388031893729547,5.130008730279083
onhandige,"['on', 'nh', 'ha', 'an', 'nd', 'di', 'ig', 'ge']",2451854.0,66106.0,6.389494782909221,4.820247448901877
