,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.61495095,0.59858423,0.43633837,0.16362001,0.9510285,0.58281463,0.43718317,0.3083172,0.19143716
bigrams_clusters:cluster_2,0.61495095,1.0,0.68552667,0.4662392,0.29752234,0.6425485,0.9505902,0.44642067,0.4651391,0.17156285
bigrams_clusters:cluster_3,0.59858423,0.68552667,1.0,0.37284505,0.3082667,0.6704838,0.6407308,0.7849174,0.46487278,0.09322594
bigrams_clusters:cluster_4,0.43633837,0.4662392,0.37284505,1.0,0.63850105,0.49006197,0.42411166,0.36411572,0.51819074,0.64232713
bigrams_clusters:cluster_5,0.16362001,0.29752234,0.3082667,0.63850105,1.0,0.24901989,0.25437862,0.29869086,0.50878996,0.46165833
visual_clusters:cluster_1,0.9510285,0.6425485,0.6704838,0.49006197,0.24901989,1.0,0.61645836,0.5202914,0.415594,0.27588496
visual_clusters:cluster_2,0.58281463,0.9505902,0.6407308,0.42411166,0.25437862,0.61645836,1.0,0.41170645,0.4203149,0.14515449
visual_clusters:cluster_3,0.43718317,0.44642067,0.7849174,0.36411572,0.29869086,0.5202914,0.41170645,1.0,0.4380372,0.07883386
visual_clusters:cluster_4,0.3083172,0.4651391,0.46487278,0.51819074,0.50878996,0.415594,0.4203149,0.4380372,1.0,0.34134546
visual_clusters:cluster_5,0.19143716,0.17156285,0.09322594,0.64232713,0.46165833,0.27588496,0.14515449,0.07883386,0.34134546,1.0
