Word,n_syllables,Log10_Syllable_FREQcounts,Syllable_Zipfs,Min_Log10_FreqCount,Max_Log10_FreqCount,Mean_Log10_FreqCount,Min_Syll_Zipf,Bigrams,Bigram Occurrence Counts,Zipf
strafte,2.0,"(3.636888906983799, 5.910038726309899)","(4.86382029151874, 7.13697011084484)",3.636888906983799,5.910038726309899,4.773463816646849,4.86382029151874,"['st', 'tr', 'ra', 'af', 'ft', 'te']","[2307098.0, 1199332.0, 2220035.0, 472535.0, 179822.0, 3522714.0]",2.978751617264655
was,1.0,"(5.381227025773177,)","(6.608158410308119,)",5.381227025773177,5.381227025773177,5.381227025773177,6.608158410308119,"['wa', 'as']","[409327.0, 504791.0]",6.720806821020991
erg,1.0,"(4.536798248304418,)","(5.763729632839359,)",4.536798248304418,4.536798248304418,4.536798248304418,5.763729632839359,"['er', 'rg']","[6799370.0, 709881.0]",5.870885988691201
onredelijk,4.0,"(5.273360140523576, 5.252083235452522, 6.234172950952972, 5.323099399735069)","(6.500291525058517, 6.479014619987463, 7.461104335487914, 6.55003078427001)",5.252083235452522,6.234172950952972,5.520678931666035,6.479014619987463,"['on', 'nr', 're', 'ed', 'de', 'el', 'li', 'ij', 'jk']","[2451854.0, 14586.0, 1607974.0, 636500.0, 2559661.0, 4671207.0, 3369152.0, 1639122.0, 518095.0]",3.5623282028986045
inbreker,3.0,"(5.704650611569667, 3.740993931584886, 5.011832548109989)","(6.931581996104608, 4.967925316119827, 6.238763932644931)",3.740993931584886,5.704650611569667,4.819159030421514,4.967925316119827,"['in', 'nb', 'br', 're', 'ek', 'ke', 'er']","[2264626.0, 79637.0, 191839.0, 1607974.0, 762098.0, 3143026.0, 6799370.0]",3.654355403276461
gekrenkte,3.0,"(6.125745990776331, 1.3010299956639813, 5.910038726309899)","(7.352677375311273, 2.5279613801989225, 7.13697011084484)",1.3010299956639813,6.125745990776331,4.445604904250071,2.5279613801989225,"['ge', 'ek', 'kr', 're', 'en', 'nk', 'kt', 'te']","[3692145.0, 762098.0, 88851.0, 1607974.0, 8542439.0, 476574.0, 179298.0, 3522714.0]",2.3555023268667545
pastoor,2.0,"(4.418002818524436, 3.8484970180903666)","(5.644934203059377, 5.075428402625308)",3.848497018090367,4.418002818524436,4.133249918307401,5.075428402625308,"['pa', 'as', 'st', 'to', 'oo', 'or']","[319786.0, 504791.0, 2307098.0, 2236591.0, 3901750.0, 2597583.0]",4.071505670501554
smeekte,2.0,"(3.1711411510283822, 5.910038726309899)","(4.3980725355633234, 7.13697011084484)",3.1711411510283822,5.910038726309899,4.54058993866914,4.3980725355633234,"['sm', 'me', 'ee', 'ek', 'kt', 'te']","[89457.0, 1659354.0, 944702.0, 762098.0, 179298.0, 3522714.0]",3.8647048491978575
ten,1.0,"(5.77026494944033,)","(6.997196333975271,)",5.77026494944033,5.77026494944033,5.77026494944033,6.997196333975271,"['te', 'en']","[3522714.0, 8542439.0]",4.563136694255716
einde,2.0,"(4.226625678595805, 6.234172950952972)","(5.453557063130746, 7.461104335487914)",4.226625678595805,6.234172950952972,5.230399314774388,5.453557063130746,"['ei', 'in', 'nd', 'de']","[2483878.0, 2264626.0, 2576478.0, 2559661.0]",5.049229275790402
raad,1.0,"(3.9146604305892216,)","(5.141591815124163,)",3.9146604305892216,3.9146604305892216,3.9146604305892216,5.141591815124163,"['ra', 'aa', 'ad']","[2220035.0, 2730922.0, 474501.0]",4.915528575779647
vorige,3.0,"(4.353800865138863, 4.870825118775824, 6.125745990776331)","(5.5807322496738045, 6.097756503310765, 7.352677375311273)",4.353800865138863,6.125745990776331,5.11679065823034,5.5807322496738045,"['vo', 'or', 'ri', 'ig', 'ge']","[2123358.0, 2597583.0, 1787712.0, 960409.0, 3692145.0]",4.934370655532783
week,1.0,"(4.131137273778607,)","(5.358068658313549,)",4.131137273778607,4.131137273778607,4.131137273778607,5.358068658313549,"['we', 'ee', 'ek']","[1965886.0, 944702.0, 762098.0]",5.368508176882491
kreeg,1.0,"(3.87453979707101,)","(5.101471181605952,)",3.87453979707101,3.87453979707101,3.87453979707101,5.101471181605952,"['kr', 're', 'ee', 'eg']","[88851.0, 1607974.0, 944702.0, 1125580.0]",5.22660802785234
assistent,3.0,"(3.995766779049974, 4.651878631030323, 2.9822712330395684)","(5.222698163584916, 5.878810015565264, 4.20920261757451)",2.9822712330395684,4.651878631030323,3.876638881039956,4.20920261757451,"['as', 'ss', 'si', 'is', 'st', 'te', 'en', 'nt']","[504791.0, 1070262.0, 1091620.0, 3439538.0, 2307098.0, 3522714.0, 8542439.0, 1477178.0]",4.311670757342117
bruine,2.0,"(4.13305964275391, 5.210168644978889)","(5.359991027288851, 6.4371000295138305)",4.13305964275391,5.210168644978889,4.6716141438664,5.359991027288851,"['br', 'ru', 'ui', 'in', 'ne']","[191839.0, 1082518.0, 687028.0, 2264626.0, 1475977.0]",4.095865016360999
tanden,2.0,"(4.005823753029028, 5.692720929176541)","(5.232755137563968, 6.919652313711482)",4.005823753029028,5.692720929176541,4.849272341102784,5.232755137563968,"['ta', 'an', 'nd', 'de', 'en']","[892070.0, 4143386.0, 2576478.0, 2559661.0, 8542439.0]",4.625715181762997
behandelde,4.0,"(5.7420971887829415, 4.542651176455405, 4.289990066054319, 6.234172950952972)","(6.969028573317883, 5.769582560990346, 5.51692145058926, 7.461104335487914)",4.289990066054319,6.234172950952972,5.20222784556141,5.51692145058926,"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'ld', 'de']","[2443609.0, 134898.0, 1299761.0, 4143386.0, 2576478.0, 2559661.0, 4671207.0, 840998.0, 2559661.0]",3.76204250730071
uitslag,2.0,"(5.343640943198292, 4.069446083880313)","(6.570572327733233, 5.296377468415255)",4.069446083880313,5.343640943198292,4.706543513539302,5.296377468415255,"['ui', 'it', 'ts', 'sl', 'la', 'ag']","[687028.0, 333345.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.075661630272712
maandag,2.0,"(4.079325986752815, 4.787658801910277)","(5.3062573712877565, 6.0145901864452185)",4.079325986752815,4.787658801910277,4.433492394331546,5.3062573712877565,"['ma', 'aa', 'an', 'nd', 'da', 'ag']","[957657.0, 2730922.0, 4143386.0, 2576478.0, 1096946.0, 400262.0]",4.487762016397799
medicus,3.0,"(5.690652292689712, 4.903502370898396, 3.6605809124272994)","(6.917583677224654, 6.130433755433337, 4.887512296962241)",3.660580912427299,5.690652292689712,4.751578525338469,4.887512296962241,"['me', 'ed', 'di', 'ic', 'cu', 'us']","[1659354.0, 636500.0, 1050254.0, 911860.0, 27593.0, 727825.0]",2.786866091025742
vreemde,2.0,"(3.621176281775035, 6.234172950952972)","(4.848107666309977, 7.461104335487914)",3.621176281775035,6.234172950952972,4.927674616364004,4.848107666309977,"['vr', 're', 'ee', 'em', 'md', 'de']","[62231.0, 1607974.0, 944702.0, 924741.0, 10432.0, 2559661.0]",4.789591965284645
pokken,2.0,"(2.3483048630481607, 5.606547956038138)","(3.575236247583102, 6.83347934057308)",2.3483048630481607,5.606547956038138,3.9774264095431495,3.575236247583102,"['po', 'ok', 'kk', 'ke', 'en']","[490468.0, 155024.0, 65091.0, 3143026.0, 8542439.0]",3.2188251869872104
zelf,1.0,"(4.845377139623072,)","(6.0723085241580135,)",4.845377139623072,4.845377139623072,4.845377139623072,6.0723085241580135,"['ze', 'el', 'lf']","[1671440.0, 4671207.0, 34029.0]",5.637239998573673
laatst,1.0,"(3.426185825244511,)","(4.653117209779452,)",3.426185825244511,3.426185825244511,3.426185825244511,4.653117209779452,"['la', 'aa', 'at', 'ts', 'st']","[2444604.0, 2730922.0, 996808.0, 235160.0, 2307098.0]",4.7780921667182366
gevreesde,3.0,"(6.125745990776331, 3.252124552505644, 6.234172950952972)","(7.352677375311273, 4.479055937040585, 7.461104335487914)",3.252124552505644,6.234172950952972,5.204014498078316,4.479055937040585,"['ge', 'ev', 'vr', 're', 'ee', 'es', 'sd', 'de']","[3692145.0, 317289.0, 62231.0, 1607974.0, 944702.0, 1784615.0, 52948.0, 2559661.0]",3.2745804192428283
psychiater,4.0,"(3.597366050266028, 4.1536929400085505, 5.254656818372799, 5.393873404149383)","(4.824297434800969, 5.380624324543492, 6.48158820290774, 6.620804788684325)",3.597366050266028,5.393873404149383,4.599897303199191,4.824297434800969,"['ps', 'sy', 'yc', 'ch', 'hi', 'ia', 'at', 'te', 'er']","[133657.0, 156747.0, 108972.0, 1999086.0, 484018.0, 112581.0, 996808.0, 3522714.0, 6799370.0]",4.291513122581964
