,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7541768,0.48578635,0.66509813,0.18207516
cluster_2,0.7541768,1.0,0.59426737,0.69358313,0.21304432
cluster_3,0.48578635,0.59426737,1.0,0.6474611,0.17761406
cluster_4,0.66509813,0.69358313,0.6474611,1.0,0.125895
cluster_5,0.18207516,0.21304432,0.17761406,0.125895,1.0
