,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.7259093,0.7409248,0.51067936,0.20014326
cluster_2,0.7259093,1.0,0.61602,0.4775841,0.20915444
cluster_3,0.7409248,0.61602,1.0,0.44854733,0.10043597
cluster_4,0.51067936,0.4775841,0.44854733,1.0,0.5229836
cluster_5,0.20014326,0.20915444,0.10043597,0.5229836,1.0
