X,Y,Z,Region,Size (voxels),Cluster Peak T
-4,-22,30,"Cingulate Gyrus, posterior division",139,6.54
-14,-64,30,Precuneous Cortex,38,5.96
-42,56,10,Frontal Pole,27,5.77
