,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
cluster_1,1.0,0.6126528,0.8141738,0.43601134,0.06341811
cluster_2,0.6126528,1.0,0.5537194,0.4853599,0.12314311
cluster_3,0.8141738,0.5537194,1.0,0.5069433,0.0015447147
cluster_4,0.43601134,0.4853599,0.5069433,1.0,0.3644614
cluster_5,0.06341811,0.12314311,0.0015447147,0.3644614,1.0
