,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5438252,0.48779917,0.2227965,0.14072976,0.949051,0.55379796,0.60565126,0.5774478,0.30385005
bigrams_clusters:cluster_2,0.5438252,1.0,0.5547366,0.1339919,0.09069571,0.6304666,0.9104274,0.5756593,0.4341169,0.12828895
bigrams_clusters:cluster_3,0.48779917,0.5547366,1.0,-0.00018245069,-0.021411065,0.5255635,0.47057235,0.8346162,0.283051,0.053187937
bigrams_clusters:cluster_4,0.2227965,0.1339919,-0.00018245069,1.0,0.66759163,0.24887827,0.1369183,0.06522595,0.26729164,0.6326313
bigrams_clusters:cluster_5,0.14072976,0.09069571,-0.021411065,0.66759163,1.0,0.15065496,0.081959575,0.019862352,0.20150702,0.30672762
visual_clusters:cluster_1,0.949051,0.6304666,0.5255635,0.24887827,0.15065496,1.0,0.64147556,0.6557778,0.6226487,0.3058201
visual_clusters:cluster_2,0.55379796,0.9104274,0.47057235,0.1369183,0.081959575,0.64147556,1.0,0.5137528,0.49644795,0.15727709
visual_clusters:cluster_3,0.60565126,0.5756593,0.8346162,0.06522595,0.019862352,0.6557778,0.5137528,1.0,0.43700197,0.16203474
visual_clusters:cluster_4,0.5774478,0.4341169,0.283051,0.26729164,0.20150702,0.6226487,0.49644795,0.43700197,1.0,0.4170623
visual_clusters:cluster_5,0.30385005,0.12828895,0.053187937,0.6326313,0.30672762,0.3058201,0.15727709,0.16203474,0.4170623,1.0
