,auditory_clusters:cluster_1,auditory_clusters:cluster_2,auditory_clusters:cluster_3,auditory_clusters:cluster_4,auditory_clusters:cluster_5,auditory_clusters:cluster_6,auditory_clusters:cluster_7,syllables_clusters:cluster_1,syllables_clusters:cluster_2
auditory_clusters:cluster_1,1.0,0.5603502,0.5742371,0.43394026,0.0070156795,0.5044701,0.37682486,0.49955475,0.30880556
auditory_clusters:cluster_2,0.5603502,1.0,0.48752663,0.37968642,0.21271119,0.20495091,0.32035992,0.2238212,0.12918763
auditory_clusters:cluster_3,0.5742371,0.48752663,1.0,0.43122166,-0.2701628,0.36816707,0.28696066,0.16011137,0.079201765
auditory_clusters:cluster_4,0.43394026,0.37968642,0.43122166,1.0,-0.25614142,0.39567885,0.60128284,-0.083364874,-0.013534283
auditory_clusters:cluster_5,0.0070156795,0.21271119,-0.2701628,-0.25614142,1.0,-0.13537131,-0.113922074,0.2269512,0.14461786
auditory_clusters:cluster_6,0.5044701,0.20495091,0.36816707,0.39567885,-0.13537131,1.0,0.36248705,0.31397563,0.34157
auditory_clusters:cluster_7,0.37682486,0.32035992,0.28696066,0.60128284,-0.113922074,0.36248705,1.0,-0.024960175,-0.012412142
syllables_clusters:cluster_1,0.49955475,0.2238212,0.16011137,-0.083364874,0.2269512,0.31397563,-0.024960175,1.0,0.77623093
syllables_clusters:cluster_2,0.30880556,0.12918763,0.079201765,-0.013534283,0.14461786,0.34157,-0.012412142,0.77623093,1.0
