,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.43426257,0.46473113,0.23643765,0.26535586,0.9609694,0.4025974,0.51248777,0.3277617,0.13434838
bigrams_clusters:cluster_2,0.43426257,1.0,0.5643608,0.22380173,0.070179775,0.5276192,0.936868,0.66617703,0.56214803,0.15659508
bigrams_clusters:cluster_3,0.46473113,0.5643608,1.0,0.18393219,0.14088015,0.53550696,0.5614962,0.70362544,0.35909444,0.04904339
bigrams_clusters:cluster_4,0.23643765,0.22380173,0.18393219,1.0,0.68768376,0.23069343,0.24193852,0.19550966,0.36291894,0.67431957
bigrams_clusters:cluster_5,0.26535586,0.070179775,0.14088015,0.68768376,1.0,0.22261117,0.05307162,0.09424193,0.18305871,0.3446307
visual_clusters:cluster_1,0.9609694,0.5276192,0.53550696,0.23069343,0.22261117,1.0,0.4948877,0.6337472,0.36858246,0.13587481
visual_clusters:cluster_2,0.4025974,0.936868,0.5614962,0.24193852,0.05307162,0.4948877,1.0,0.6613388,0.5697598,0.17132035
visual_clusters:cluster_3,0.51248777,0.66617703,0.70362544,0.19550966,0.09424193,0.6337472,0.6613388,1.0,0.6051006,0.18514507
visual_clusters:cluster_4,0.3277617,0.56214803,0.35909444,0.36291894,0.18305871,0.36858246,0.5697598,0.6051006,1.0,0.3729515
visual_clusters:cluster_5,0.13434838,0.15659508,0.04904339,0.67431957,0.3446307,0.13587481,0.17132035,0.18514507,0.3729515,1.0
