,auditory_clusters:cluster_1,auditory_clusters:cluster_2,auditory_clusters:cluster_3,auditory_clusters:cluster_4,auditory_clusters:cluster_5,auditory_clusters:cluster_6,auditory_clusters:cluster_7,syllables_clusters:cluster_1,syllables_clusters:cluster_2
auditory_clusters:cluster_1,1.0,0.7364486,0.579258,0.4580082,0.31991398,0.09528846,0.64433736,0.43927625,0.24609612
auditory_clusters:cluster_2,0.7364486,1.0,0.6108345,0.4820003,0.39896995,0.113201514,0.54547465,0.17473568,0.064035684
auditory_clusters:cluster_3,0.579258,0.6108345,1.0,0.4707498,0.36261076,0.3217831,0.44241947,0.34072062,0.2550134
auditory_clusters:cluster_4,0.4580082,0.4820003,0.4707498,1.0,0.13852252,0.33609223,0.4340929,0.16960314,-0.03933716
auditory_clusters:cluster_5,0.31991398,0.39896995,0.36261076,0.13852252,1.0,-0.004818503,0.26908615,-0.04611184,-0.0037176164
auditory_clusters:cluster_6,0.09528846,0.113201514,0.3217831,0.33609223,-0.004818503,1.0,0.24965818,0.18028714,0.020274745
auditory_clusters:cluster_7,0.64433736,0.54547465,0.44241947,0.4340929,0.26908615,0.24965818,1.0,0.16666842,-0.0019671207
syllables_clusters:cluster_1,0.43927625,0.17473568,0.34072062,0.16960314,-0.04611184,0.18028714,0.16666842,1.0,0.8702344
syllables_clusters:cluster_2,0.24609612,0.064035684,0.2550134,-0.03933716,-0.0037176164,0.020274745,-0.0019671207,0.8702344,1.0
