,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.5519208,0.42678332,0.31774545,0.06728749,0.95195335,0.45358875,0.7344378,0.5739521,0.13420412
bigrams_clusters:cluster_2,0.5519208,1.0,0.5156078,0.28969714,0.026135206,0.5588846,0.9276448,0.5951822,0.43478906,0.17671739
bigrams_clusters:cluster_3,0.42678332,0.5156078,1.0,0.23843925,0.15307397,0.40603134,0.50602466,0.5478816,0.22305135,0.21253224
bigrams_clusters:cluster_4,0.31774545,0.28969714,0.23843925,1.0,0.50782055,0.32705483,0.25321907,0.28482026,0.45156264,0.6090743
bigrams_clusters:cluster_5,0.06728749,0.026135206,0.15307397,0.50782055,1.0,0.08592124,0.061597038,-0.008228127,0.21701497,0.13800119
visual_clusters:cluster_1,0.95195335,0.5588846,0.40603134,0.32705483,0.08592124,1.0,0.45793763,0.7731447,0.60052675,0.14662817
visual_clusters:cluster_2,0.45358875,0.9276448,0.50602466,0.25321907,0.061597038,0.45793763,1.0,0.5060149,0.43182904,0.14842537
visual_clusters:cluster_3,0.7344378,0.5951822,0.5478816,0.28482026,-0.008228127,0.7731447,0.5060149,1.0,0.5569766,0.2245657
visual_clusters:cluster_4,0.5739521,0.43478906,0.22305135,0.45156264,0.21701497,0.60052675,0.43182904,0.5569766,1.0,0.1995676
visual_clusters:cluster_5,0.13420412,0.17671739,0.21253224,0.6090743,0.13800119,0.14662817,0.14842537,0.2245657,0.1995676,1.0
