,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.66656685,0.22245272,0.34470004,0.29406083,0.9553182,0.51732975,0.67278165,0.54267937,0.33262026
bigrams_clusters:cluster_2,0.66656685,1.0,0.33095455,0.32366875,0.2617356,0.68330055,0.80740154,0.66797423,0.4732462,0.2759175
bigrams_clusters:cluster_3,0.22245272,0.33095455,1.0,0.18166158,0.13678992,0.22948226,0.16104685,0.5573975,0.23969567,0.11642306
bigrams_clusters:cluster_4,0.34470004,0.32366875,0.18166158,1.0,0.6357948,0.34609553,0.28558218,0.23133598,0.47106272,0.8061364
bigrams_clusters:cluster_5,0.29406083,0.2617356,0.13678992,0.6357948,1.0,0.29255226,0.21590832,0.2342445,0.24267262,0.55720854
visual_clusters:cluster_1,0.9553182,0.68330055,0.22948226,0.34609553,0.29255226,1.0,0.5484773,0.6710431,0.5607022,0.31630906
visual_clusters:cluster_2,0.51732975,0.80740154,0.16104685,0.28558218,0.21590832,0.5484773,1.0,0.43761274,0.39159662,0.22500269
visual_clusters:cluster_3,0.67278165,0.66797423,0.5573975,0.23133598,0.2342445,0.6710431,0.43761274,1.0,0.3831182,0.27710962
visual_clusters:cluster_4,0.54267937,0.4732462,0.23969567,0.47106272,0.24267262,0.5607022,0.39159662,0.3831182,1.0,0.35257763
visual_clusters:cluster_5,0.33262026,0.2759175,0.11642306,0.8061364,0.55720854,0.31630906,0.22500269,0.27710962,0.35257763,1.0
