,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.65029854,0.5296594,0.4017071,0.24827889,0.9396629,0.61757386,0.7006646,0.6498375,0.33091265
bigrams_clusters:cluster_2,0.65029854,1.0,0.5102601,0.36525452,0.22265601,0.66303486,0.9499059,0.61254656,0.5605788,0.24719436
bigrams_clusters:cluster_3,0.5296594,0.5102601,1.0,0.22374986,0.21594499,0.5324317,0.47261444,0.81956595,0.39014402,0.2308315
bigrams_clusters:cluster_4,0.4017071,0.36525452,0.22374986,1.0,0.5444844,0.46305525,0.3518829,0.34612134,0.49940708,0.79077196
bigrams_clusters:cluster_5,0.24827889,0.22265601,0.21594499,0.5444844,1.0,0.26570436,0.2381556,0.22651468,0.21401694,0.4555079
visual_clusters:cluster_1,0.9396629,0.66303486,0.5324317,0.46305525,0.26570436,1.0,0.6264226,0.73490655,0.7092746,0.39255807
visual_clusters:cluster_2,0.61757386,0.9499059,0.47261444,0.3518829,0.2381556,0.6264226,1.0,0.5837224,0.54509544,0.24463408
visual_clusters:cluster_3,0.7006646,0.61254656,0.81956595,0.34612134,0.22651468,0.73490655,0.5837224,1.0,0.5878843,0.2962891
visual_clusters:cluster_4,0.6498375,0.5605788,0.39014402,0.49940708,0.21401694,0.7092746,0.54509544,0.5878843,1.0,0.4252258
visual_clusters:cluster_5,0.33091265,0.24719436,0.2308315,0.79077196,0.4555079,0.39255807,0.24463408,0.2962891,0.4252258,1.0
