,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.72924507,0.41941294,0.40791905,0.20535865,0.96706945,0.7379335,0.68333906,0.7204295,0.19586572
bigrams_clusters:cluster_2,0.72924507,1.0,0.4774121,0.38081214,0.21704726,0.74612373,0.91371644,0.57643354,0.58370894,0.15451142
bigrams_clusters:cluster_3,0.41941294,0.4774121,1.0,0.034869287,-0.037841275,0.44658506,0.47215796,0.64036554,0.31080666,-0.26133403
bigrams_clusters:cluster_4,0.40791905,0.38081214,0.034869287,1.0,0.72083163,0.44212276,0.31685746,0.3767116,0.63000864,0.7658981
bigrams_clusters:cluster_5,0.20535865,0.21704726,-0.037841275,0.72083163,1.0,0.22317106,0.1551025,0.22544265,0.4059329,0.6046891
visual_clusters:cluster_1,0.96706945,0.74612373,0.44658506,0.44212276,0.22317106,1.0,0.73794717,0.7531273,0.7557112,0.21715048
visual_clusters:cluster_2,0.7379335,0.91371644,0.47215796,0.31685746,0.1551025,0.73794717,1.0,0.5949195,0.5621344,0.10178754
visual_clusters:cluster_3,0.68333906,0.57643354,0.64036554,0.3767116,0.22544265,0.7531273,0.5949195,1.0,0.6862464,0.16158116
visual_clusters:cluster_4,0.7204295,0.58370894,0.31080666,0.63000864,0.4059329,0.7557112,0.5621344,0.6862464,1.0,0.36390224
visual_clusters:cluster_5,0.19586572,0.15451142,-0.26133403,0.7658981,0.6046891,0.21715048,0.10178754,0.16158116,0.36390224,1.0
