,bigrams_clusters:cluster_1,bigrams_clusters:cluster_2,bigrams_clusters:cluster_3,bigrams_clusters:cluster_4,bigrams_clusters:cluster_5,visual_clusters:cluster_1,visual_clusters:cluster_2,visual_clusters:cluster_3,visual_clusters:cluster_4,visual_clusters:cluster_5
bigrams_clusters:cluster_1,1.0,0.7536764,0.6200752,0.35004216,0.18814358,0.97391975,0.7479047,0.5164485,0.4539936,0.2269359
bigrams_clusters:cluster_2,0.7536764,1.0,0.60797876,0.32945317,0.21530509,0.75082237,0.9542819,0.38501444,0.40376425,0.19698466
bigrams_clusters:cluster_3,0.6200752,0.60797876,1.0,0.17904902,0.15261032,0.61947346,0.5821435,0.7537609,0.28363788,0.06401776
bigrams_clusters:cluster_4,0.35004216,0.32945317,0.17904902,1.0,0.5675494,0.36723804,0.33799735,0.16668482,0.5918747,0.7229834
bigrams_clusters:cluster_5,0.18814358,0.21530509,0.15261032,0.5675494,1.0,0.21085913,0.20787151,0.13740505,0.34870064,0.48324996
visual_clusters:cluster_1,0.97391975,0.75082237,0.61947346,0.36723804,0.21085913,1.0,0.74556077,0.5322711,0.4810113,0.24664812
visual_clusters:cluster_2,0.7479047,0.9542819,0.5821435,0.33799735,0.20787151,0.74556077,1.0,0.38636696,0.45068234,0.20038287
visual_clusters:cluster_3,0.5164485,0.38501444,0.7537609,0.16668482,0.13740505,0.5322711,0.38636696,1.0,0.40387058,0.0375847
visual_clusters:cluster_4,0.4539936,0.40376425,0.28363788,0.5918747,0.34870064,0.4810113,0.45068234,0.40387058,1.0,0.39497942
visual_clusters:cluster_5,0.2269359,0.19698466,0.06401776,0.7229834,0.48324996,0.24664812,0.20038287,0.0375847,0.39497942,1.0
