Cluster #,Centroid,Peak,Peak T-value,Extent
1,"[-42, -54, -13]","[-44, -50, -14]",12.14,444
2,"[-48, 24, 15]","[-48, 30, -2]",10.6,761
3,"[-56, -10, -7]","[-56, -12, -6]",9.36,94
4,"[-56, -40, 4]","[-52, -38, 4]",8.99,278
5,"[-30, -93, -8]","[-28, -94, -8]",8.47,21
